function,line,var,sdc
matvec,25,Ap,5.722133170640949
matvec,25,Ap,5.130685851795593
matvec,25,Ap,6.771537733405207
matvec,25,Ap,5.174878459348495
matvec,25,Ap,6.174782279779603
matvec,25,Ap,4.959535998676987
matvec,25,Ap,5.52408866753435
matvec,25,Ap,6.443053329924456
matvec,25,Ap,4.465275377099261
matvec,25,Ap,4.568076335647798
matvec,25,Ap,4.615907454318335
matvec,25,Ap,4.320100809342202
matvec,25,Ap,4.677447859665949
matvec,25,Ap,1.948303305952607
matvec,25,Ap,4.6088254099116535
matvec,25,Ap,4.870775359212147
matvec,25,Ap,4.886643805596579
matvec,25,Ap,4.462995252079943
matvec,25,Ap,4.100107725943078
matvec,25,Ap,4.563372727403451
matvec,25,Ap,3.3402104173579477
matvec,25,Ap,4.403612195828847
matvec,25,Ap,4.371900504211559
matvec,25,Ap,5.484872361853404
matvec,25,Ap,4.972766271461767
matvec,25,Ap,5.220183346006327
matvec,25,Ap,4.4847553652751815
matvec,25,Ap,4.352693973224239
matvec,25,Ap,3.2349194395160206
matvec,25,Ap,4.4621454379520245
matvec,25,Ap,5.067306780617247
matvec,25,Ap,5.524809176465364
matvec,25,Ap,4.783235675845463
matvec,25,Ap,4.543908507657131
matvec,25,Ap,4.651924140946575
matvec,25,Ap,5.120729356520396
matvec,25,Ap,3.112353877405094
matvec,25,Ap,4.06811099090996
matvec,25,Ap,5.62066918177405
matvec,25,Ap,6.196565245537517
matvec,25,Ap,5.17564855062997
matvec,25,Ap,5.074553900980377
matvec,25,Ap,4.881770005638673
matvec,25,Ap,4.261167805303429
matvec,25,Ap,4.068677076304574
matvec,25,Ap,4.968791201086445
matvec,25,Ap,5.582438999630643
matvec,25,Ap,5.240215349064708
matvec,25,Ap,4.6588119887808865
matvec,25,Ap,4.975883013456528
matvec,25,Ap,5.100395904569349
matvec,25,Ap,5.220557223768949
matvec,25,Ap,5.2136272949663045
matvec,25,Ap,4.1563738407093656
dot,57,sum,2.744754582960146
dot,57,sum,1.6925383915994763
dot,57,sum,2.8819690348632054
dot,57,sum,2.762086523693932
dot,57,sum,2.3361135035607785
dot,57,sum,2.559778071140405
