File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
15251,dot,57,sum,-0.001953125,8.152163801873659e-11,3.477483649e-07,Masked,1,20,238
2669,readA,167,A,0.0625,0.006475163448665837,0.0008097924990669999,Masked,0,46,41
35572,matvec,25,Ap,42.90612724319603,-0.5,0.0502966886755688,Masked,4,53,555
17353,solve_cg,84,beta,-9.003214840319629e-16,7.310174056232728e-14,3.477474097e-07,Masked,2,10,271
38664,daxpby,40,y,7.105427357601002e-15,5.657280444943917e-14,3.477474088e-07,Masked,5,9,604
51741,daxpby,40,y,2.9103900008303075e-11,-6.961576985365186e-08,3.477474097e-07,Masked,6,30,808
10790,waxpby,33,r,0.0078125,5.477520605994318e-05,0.0021294054429445,Masked,1,39,168
18716,matvec,25,Ap,7.62939453125e-06,3.295771395011382e-08,3.479896521e-07,Masked,2,29,292
6319,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,48,98
8649,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,10,135
38938,daxpby,40,y,-1.8626452047421087e-09,-1.2713536881647604e-08,3.473999236e-07,Masked,5,27,608
38694,daxpby,40,y,7.629394531305511e-06,6.074458623877811e-05,6.420627921e-07,Masked,5,39,604
10312,solve_cg,76,normr,2.9103830456733704e-11,5.245985824943282e-14,3.477474097e-07,Masked,0,9,161
8451,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,4,132
16628,daxpby,40,y,-9.831711061632378,-1.0,0.0040245062892938,Masked,1,53,259
42655,matvec,25,Ap,-1.9073486328125e-06,-2.695706298712455e-07,3.40707515e-07,Masked,5,32,666
2997,readA,167,A,22.836717,3.0,0.0439639058935982,Masked,0,54,46
26950,matvec,25,Ap,-1.8189894035458565e-12,-1.3083503408140568e-14,3.477474099e-07,Masked,3,7,421
2539,readA,167,A,0.00390625,0.001028139639063437,0.0003775647459789,Masked,0,44,39
33072,matvec,25,Ap,1.0,-0.03353458600284539,0.0015823280252089999,Masked,4,49,516
27931,matvec,25,Ap,-4.76837158203125e-07,-1.8680601576430083e-08,3.477137747e-07,Masked,3,28,436
47813,matvec,25,Ap,-2.012279232133096e-16,4.994261021858427e-15,3.477474097e-07,Masked,6,6,747
37360,daxpby,40,y,0.00390625,-0.033668782203183256,5.6018915974e-06,Masked,4,49,583
23074,daxpby,40,y,3.814697265625e-06,1.9718879320932964e-06,3.477474097e-07,Masked,2,35,360
21947,matvec,25,Ap,-9.27086244377248e+40,-3.402823669209385e+38,32.83830810384777,SDC,2,60,342
36709,solve_cg,90,p_ap_dot,0.0078125,2.1444488331278263e-05,4.83430013e-08,Masked,4,38,573
38820,daxpby,40,y,9.5367431640625e-07,9.52377844037756e-06,6.806205938e-07,Masked,5,37,606
32454,matvec,25,Ap,2.273736754432321e-13,8.425450816807643e-15,3.477474098e-07,Masked,4,7,507
49029,matvec,25,Ap,-1.7763568394002505e-15,5.9460671770640314e-15,3.477474097e-07,Masked,6,6,766
4985,waxpby,33,r,0.0,0,3.477474097e-07,Masked,0,58,77
24177,dot_r2,48,sum,16.0,0.09783430660574348,0.0026990089085654,Masked,3,50,377
2086,readA,167,A,-0.00048828125,3.4719975454032846e-05,3.291563227e-07,Masked,0,39,32
10070,dot_r2,48,sum,-0.0001220703125,4.822060658812538e-10,3.47761505e-07,Masked,0,23,157
21446,matvec,25,Ap,-7.275957614183426e-12,-7.56526436931019e-15,3.4774741e-07,Masked,2,7,335
47909,matvec,25,Ap,-3.8146972657082676e-06,-1.6114422499882423e-05,3.477474097e-07,Masked,6,38,748
47097,matvec,25,Ap,-0.5450318577241402,0.9999999997671695,3.477474097e-07,Masked,6,58,735
14824,matvec,25,Ap,1.0,0.00014235119451545792,0.0003035297747649,Masked,1,41,231
49719,matvec,25,Ap,0.143891508208975,-0.9960937500000002,3.477474097e-07,Masked,6,56,776
40261,matvec,25,Ap,2.8421709430404014e-14,3.925028217335623e-15,3.477474096e-07,Masked,5,6,629
45281,dot_r2,48,sum,2.3283060001473216e-10,1.4247398208970233e-06,3.559599269e-07,Masked,6,34,707
22011,matvec,25,Ap,-1.0005780890470294e+41,-3.402823669209385e+38,32.83830810384777,SDC,2,60,343
34354,matvec,25,Ap,-2.0,-0.14438492520452684,0.0080017511838343,Masked,4,51,536
27674,matvec,25,Ap,9.5367431640625e-07,-1.2018065764612714e-08,3.478146873e-07,Masked,3,27,432
6082,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,3,95
33294,matvec,25,Ap,1.1641532182693479e-10,-2.4190520991163545e-12,3.4774733399999994e-07,Masked,4,15,520
40480,matvec,25,Ap,-3.814697265625e-06,4.916717007323722e-07,3.572204958e-07,Masked,5,33,632
24721,daxpby,40,y,1.1641532182693479e-10,1.5588478002291557e-11,3.477464796e-07,Masked,3,18,386
30954,dot_r2,48,sum,-0.000244140625,0.0006364886183971871,1.636286501e-07,Masked,4,43,483
12522,matvec,25,Ap,2.0,0.0007363723419042046,0.0008183177198472,Masked,1,43,195
2268,readA,167,A,-1.1920928955078125e-07,3.249881398135642e-08,3.477920197e-07,Masked,0,29,35
2542,readA,167,A,-0.03125,0.008225117112507495,0.0153999816401017,Masked,0,47,39
49534,matvec,25,Ap,7.430741504521366e+306,1.7976931348623153e+308,3.477474097e-07,Masked,6,63,773
23916,dot_r2,48,sum,0.125,0.002449013269116217,2.83220801504e-05,Masked,3,45,373
16663,daxpby,40,y,-5.960464477539063e-08,1.8273100826344591e-09,3.477354732e-07,Masked,1,24,260
20845,matvec,25,Ap,-2.0,-0.004746568014220745,0.0262605348748675,Masked,2,46,325
49986,matvec,25,Ap,0.0,0.0,3.477474097e-07,Masked,6,3,781
15415,dot,57,sum,-33986322.155924104,0.9960937500000001,10411.016774355301,SDC,1,56,240
9302,waxpby,33,r,1.1920928955078125e-07,5.186988528632219e-10,3.477529035e-07,Masked,0,23,145
44464,daxpby,40,y,-0.00048828125,0.051258711995732384,0.0003230563093036,Masked,5,49,694
38482,solve_cg,84,beta,-9.094981712198802e-13,5.575555453590744e-11,3.477474097e-07,Masked,5,19,601
11562,matvec,25,Ap,-16.0,0.0008764143334394964,0.0039832386221839,Masked,1,43,180
8813,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,46,137
8819,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,52,137
