File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit
12331,matvec,25,Ap,-0.0009765625,0.010281956803399312,3.477474097e-07,Masked,6,45
1294,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,57
959,readA,167,A,-4.721028,1.0,0.0042585443393882,Masked,init,61
7294,dot,57,sum,4.645276761957579e+22,1.8446744073709552e+19,1.3700013245579516,SDC,3,57
2734,solve_cg,87,normr,1.0233937527000552e+22,1.8446744073709552e+19,3.477474097e-07,Masked,1,57
207,readA,167,A,-10.93361,1.0,0.0027086263839898,Masked,init,61
12684,dot,57,sum,-0.001953125,0.17740451788571995,3.477474097e-07,Masked,6,49
4507,matvec,25,Ap,16.0,-0.011692239952997638,0.0057506425547527,Masked,2,45
12606,dot,57,sum,-0.0053773297727904,1.0,3.477474097e-07,Masked,6,57
9022,matvec,25,Ap,-7.483180818666738e+19,-1.8446744073709552e+19,9.009163285689148,SDC,4,57
3294,matvec,25,Ap,1.630445182067401e+23,1.8446744073709552e+19,2391.8492451602247,SDC,1,57
6461,matvec,25,Ap,-120.44123669866775,0.9375,0.0171915668374924,Masked,3,53
7870,solve_cg,84,beta,-0.0338646469979041,1.0,0.0169307571900842,Masked,4,57
6556,matvec,25,Ap,64.0,-0.13086930587136783,0.0015885912955767,Masked,3,49
7662,daxpby,40,y,-1.2503916036256741,1.0,0.0023804254581586,Masked,3,57
3548,matvec,25,Ap,-1024.0,0.16709253536149635,0.0039065463154441,Masked,1,49
9839,matvec,25,Ap,8.725644843824385,-1.0,0.0263125655586934,Masked,5,61
5727,daxpby,40,y,nan,nan,3.477474097e-07,Masked,2,61
4110,daxpby,40,y,4.623430179121094e+20,1.8446744073709552e+19,4.623430179121094e+20,SDC,1,57
2379,waxpby,33,r,2.0,0.012718107596462077,0.0004639390563569,Masked,init,45
2140,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,49
3551,matvec,25,Ap,-6128.3407890401995,1.0,0.0035208244325373,Masked,1,61
11293,dot_r2,48,sum,0.0017391388297258,14.999999999998277,0.0298713314418557,Masked,6,53
1710,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,57
6845,matvec,25,Ap,-296.14755966688807,0.9375,0.5037130932086494,SDC,3,53
5965,dot_r2,48,sum,-37.03689827628247,0.9374999999999999,0.0039341790175372,Masked,3,53
9967,matvec,25,Ap,nan,nan,nan,DUE,5,61
8220,matvec,25,Ap,4.0,-0.19359776972235196,0.022683047250555,Masked,4,49
1422,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,57
526,readA,167,A,2.5942412507364763e+20,1.8446744073709552e+19,5.815822377940364e+35,SDC,init,57
8541,matvec,25,Ap,-0.6390075378253844,0.9374999999999999,0.0009637937353383,Masked,4,53
6987,matvec,25,Ap,-0.25,-0.009794015239303375,0.0003242419094377,Masked,3,45
6990,matvec,25,Ap,-4.70867760131789e+20,-1.8446744073709552e+19,76.12852560723475,SDC,3,57
4510,matvec,25,Ap,-2.5243059188473402e+22,-1.8446744073709552e+19,128.98092626042,SDC,2,57
3247,matvec,25,Ap,-23503.4403270554,1.0,2.298919757770543,SDC,1,61
2653,waxpby,33,r,-189.97678125,0.9375,0.0246783904359931,Masked,1,53
3564,matvec,25,Ap,1024.0,0.16020469968756718,0.0071972773571001,Masked,1,49
12927,daxpby,40,y,2.9077529060208623e+304,inf,3.477474097e-07,Masked,6,61
12927,daxpby,40,y,2.9077529060208623e+304,inf,3.477474097e-07,Masked,6,61
8670,matvec,25,Ap,-0.7782018258038984,1.0,0.0014893918037825,Masked,4,57
12015,matvec,25,Ap,-3.741022986652771e+307,-1.7976931348623157e+308,3.477474097e-07,Masked,6,61
1915,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,45
8494,matvec,25,Ap,7.022450214764146e+20,1.8446744073709552e+19,14.928425108111508,SDC,4,57
1339,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,45
5579,dot,57,sum,1024.0,0.010316388804380796,0.0055731420562874,Masked,2,45
8108,matvec,25,Ap,8.0,0.2308460593345429,0.004595971695668,Masked,4,49
4142,daxpby,40,y,1.929387057122818e+20,1.8446744073709552e+19,1.929387057122818e+20,SDC,1,57
155,readA,167,A,1.0,0.015051946525250619,0.0011667482408727,Masked,init,45
12267,matvec,25,Ap,0.00390625,0.013075540001438237,3.477474097e-07,Masked,6,45
9103,dot,57,sum,-49.658906185441424,1.0,0.0265895455309665,Masked,4,61
6893,matvec,25,Ap,-369.7072931771702,0.9375000000000001,1.097424942325919,SDC,3,53
10175,matvec,25,Ap,nan,nan,nan,DUE,5,61
1612,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,49
9435,daxpby,40,y,-0.0009765625,-0.008039262660648448,5.13197350307e-05,Masked,4,45
4155,daxpby,40,y,-0.125,-0.012713961915317519,0.0057462994611044,Masked,1,45
1051,readB,175,b,2.0,0.008702322693438493,9.96251271292e-05,Masked,init,45
10875,dot,57,sum,0.03125,0.008747328773117737,2.10184507552e-05,Masked,5,45
9005,matvec,25,Ap,0.7207114457413866,15.00000000000001,0.0008079987065159,Masked,4,53
11277,dot_r2,48,sum,0.0015031954124858,14.999999999993015,0.0271061808969392,Masked,6,53
5950,solve_cg,82,oldrtrans,6.992551867991097e+22,1.8446744073709552e+19,0.0044057672687376,Masked,3,57
9292,daxpby,40,y,-0.25,0.12501853498338095,3.477474097e-07,Masked,4,49
2527,dot_r2,48,sum,-253149.68254684,1.0,145.44563562616776,SDC,init,61
7836,dot_r2,48,sum,1.0,0.1522824737250969,0.0164561811482357,Masked,4,49
11950,matvec,25,Ap,-0.0201104716047581,1.0,3.477474097e-07,Masked,6,57
6830,matvec,25,Ap,-3.342387420400972e+21,-1.8446744073709552e+19,8.597949350688541,SDC,3,57
5199,matvec,25,Ap,329.78970386380513,-1.0,0.020419752839597,Masked,2,61
11291,dot_r2,48,sum,-9.536743164000023e-07,0.00822540127417763,3.33307405531e-05,Masked,6,45
7083,matvec,25,Ap,-1.0,-0.013020483678434492,0.0029152807737756,Masked,3,45
4285,dot_r2,48,sum,39450.32890136199,15.0,93062.97901485335,SDC,2,53
8428,matvec,25,Ap,0.25,-0.1407863266834655,0.0001837142846046,Masked,4,49
10687,matvec,25,Ap,-1.3274109332790298e+308,-inf,0.3926145944147624,SDC,5,61
4878,matvec,25,Ap,-2.3952630756773296e+22,-1.8446744073709552e+19,85.54064513218799,SDC,2,57
9773,solve_cg,87,normr,-0.3068337728123103,0.9375000000000001,0.006280584854154,Masked,5,53
7148,matvec,25,Ap,-64.0,0.17603975010457557,0.0038371826774714,Masked,3,49
