File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
139325,Transpose,804,dest,0.9855321439088477,-0.9375,1.421e-13,Masked,53
125597,FFT1DOnce,872,tau_c,0.19078412817843549,-0.9374999999999999,8.53e-14,Masked,53
50604,FFT1DOnce,877,x1,0.5,0.21662155851311451,0.5000000000000568,SDC,49
39869,TwiddleOneCol,715,tx,-1.778109842573585,0.9375,0.0,Masked,53
313965,TwiddleOneCol,714,tx,-32.79180711988398,0.9374999999999999,0.0,Masked,53
130173,FFT1DOnce,870,x_c,-0.4860544710541004,0.9375,0.4860544710540466,SDC,53
94142,FFT1DOnce,874,x_c,0.4363810052016968,-1.0,1.137e-13,Masked,57
216255,FFT1DOnce,878,x1,5.184510995159984e+307,inf,7.79625120912e+289,SDC,61
116110,FFT1DOnce,867,omega_r,-1.0,1.0,1.3796162894611825,SDC,57
350542,FFT1DOnce,871,tau_r,-8.046474517797516e+19,-1.8446744073709552e+19,317.0132332519394,SDC,57
214539,FFT1DOnce,867,omega_r,2.9802322299999874e-08,-0.008113438117905675,1.137e-13,Masked,45
404734,Transpose,804,dest,1.9369552641807617e+20,1.8446744073709552e+19,375.9020658893263,SDC,57
280078,FFT1DOnce,871,tau_r,-0.8135778497307937,1.0,8.53e-14,Masked,57
159325,FFT1DOnce,872,tau_c,-0.7703957980497176,0.9374999999999999,1.705e-13,Masked,53
499325,FFT1DOnce,874,x_c,-30.324129918384095,0.9375,8.53e-14,Masked,53
256909,Transpose,803,dest,1.364507214180346,14.999999999999995,2.842e-13,Masked,53
329421,TwiddleOneCol,714,tx,31.71893931511915,-0.9375,1.705e-13,Masked,53
285261,FFT1DOnce,871,tau_r,-194.92253271332376,-15.0,3.411e-13,Masked,53
326363,FFT1DOnce,872,tau_c,-0.03125,0.010470515081043208,2.274e-13,Masked,45
271771,Transpose,804,dest,-0.0625,-0.014528404897909719,1.705e-13,Masked,45
38734,FFT1DOnce,867,omega_r,0.9238819924229884,-1.0,5.68e-14,Masked,57
149019,FFT1DOnce,876,x2,-0.0625,0.009321323729843628,8.53e-14,Masked,45
407437,Transpose,803,dest,-405.43130005972534,-15.0,1.421e-13,Masked,53
381231,FFT1DOnce,869,x_r,nan,nan,nan,DUE,61
525484,Transpose,803,dest,-0.03125,0.12659838469655266,0.0312499999999147,Masked,49
315339,FFT1DOnce,867,omega_r,0.015625,0.015625,1.99e-13,Masked,45
523931,Scale,726,x,-0.0078125,0.012961283147479052,0.0078124999999147,Masked,45
124955,FFT1DOnce,868,omega_c,0.0078125,-0.007812500000052706,8.53e-14,Masked,45
264859,CopyColumn,820,dest,-0.015625,-0.009423713777533082,4.547e-13,Masked,45
105647,FFT1DOnce,873,x_r,1.5176198051874302e+308,inf,nan,DUE,61
307212,FFT1DOnce,875,x2,0.5,0.1459088439862921,4.263e-13,Masked,49
419500,FFT1DOnce,869,x_r,0.0625,0.15489622931423397,2.84e-14,Masked,49
452174,FFT1DOnce,875,x2,4.640866311172286e+19,1.8446744073709552e+19,1.8128384028016733e+17,SDC,57
149103,FFT1DOnce,869,x_r,-2.1232528178351386e+307,-inf,254.21534340888257,SDC,61
320555,FFT1DOnce,869,x_r,0.03125,-0.012296083710787449,1.99e-13,Masked,45
456686,FFT1DOnce,873,x_r,9.914023393127773e+19,1.8446744073709552e+19,12.974712050147389,SDC,57
341643,FFT1DOnce,867,omega_r,0.015625,0.015625,3.411e-13,Masked,45
162860,FFT1DOnce,877,x1,-0.5,0.13390830980759713,4.547e-13,Masked,49
180511,FFT1DOnce,876,x2,2.393381273289692,-1.0,1.99e-13,Masked,61
338460,TwiddleOneCol,715,tx,-1.0,-0.14365166748635244,1.137e-13,Masked,49
