File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit,DI
34279,FFT1DOnce,877,x1,-2.384185791015625e-07,1.6013072898837994e-07,2.384185223e-07,Masked,29,2142
470217,FFT1DOnce,875,x2,-0.0078125,5.2422969895270855e-05,0.0001220703124147,Masked,37,29388
445446,FFT1DOnce,871,tau_r,9.5367431640625e-07,1.3937168671713302e-08,8.53e-14,Masked,25,27840
186192,FFT1DOnce,872,tau_c,8.881784197001252e-16,7.233595351984507e-16,8.53e-14,Masked,1,11637
295161,FFT1DOnce,878,x1,-0.0009765625,4.5464475102794316e-05,8.53e-14,Masked,37,18447
343044,FFT1DOnce,871,tau_r,1.1641532182693481e-10,-4.398100404503615e-11,3.126e-13,Masked,17,21440
401506,FFT1DOnce,877,x1,1.8189894035458565e-12,1.1874305195304706e-13,2.84e-14,Masked,9,25094
169480,FFT1DOnce,871,tau_r,9.5367431640625e-07,2.9581020536320948e-06,2.274e-13,Masked,33,10592
77410,FFT1DOnce,873,x_r,1.419697692739419e-14,1.3062071544235948e-13,8.53e-14,Masked,9,4838
539838,CopyColumn,820,dest,-0.1576871850113335,1.0,0.1576871850112695,SDC,57,33739
185465,FFT1DOnce,874,x_c,7.6293945312222444e-06,3.104968645249947e-05,1.137e-13,Masked,37,11591
325687,FFT1DOnce,878,x1,9.5367431640625e-07,2.1090421606796726e-07,2.558e-13,Masked,29,20355
479195,FFT1DOnce,876,x2,-1.0,0.012529009644406449,0.0078124999999147,Masked,45,29949
21667,FFT1DOnce,869,x_r,-4.548028620376954e-13,2.9957771175390412e-12,8.53e-14,Masked,13,1354
186372,FFT1DOnce,871,tau_r,1.1641532182693481e-10,-5.636709255657291e-11,2.84e-14,Masked,17,11648
231854,FFT1DOnce,869,x_r,-0.4225761632836846,1.0,0.0,Masked,57,14490
477489,FFT1DOnce,878,x1,-4.547473508864641e-13,-1.288772466245459e-14,8.53e-14,Masked,5,29843
72402,TwiddleOneCol,715,tx,-2.2737367544323206e-13,2.0401721049360474e-13,0.0,Masked,9,4525
172639,FFT1DOnce,876,x2,nan,nan,nan,DUE,61,10789
417554,FFT1DOnce,876,x2,-2.9103830456733704e-11,1.99240101936052e-13,2.84e-14,Masked,9,26097
135225,FFT1DOnce,874,x_c,3.0517578125e-05,-4.798562074683684e-05,5.68e-14,Masked,37,8451
480475,FFT1DOnce,872,tau_c,0.25,-0.013616214278764577,8.53e-14,Masked,45,30029
245202,FFT1DOnce,876,x2,2.842170943040401e-14,-1.4469799282516546e-13,5.68e-14,Masked,9,15325
140702,Transpose,804,dest,-0.7513472083200325,1.0,5.68e-14,Masked,57,8793
363748,FFT1DOnce,869,x_r,2.3283064365386963e-10,-4.7406118959247716e-11,2.558e-13,Masked,17,22734
207657,FFT1DOnce,869,x_r,-3.0517578125e-05,-4.6864193852853085e-05,3.695e-13,Masked,37,12978
315727,FFT1DOnce,867,omega_r,inf,inf,nan,DUE,61,19732
178322,Reverse,832,x,-2.2737367544323206e-13,-2.2287840201615444e-13,1.421e-13,Masked,9,11145
33210,FFT1DOnce,870,x_c,-0.00048828125,0.0008670284056798514,0.0004882812499432,Masked,41,2075
307886,FFT1DOnce,869,x_r,0.1752411949459876,-1.0,1.705e-13,Masked,57,19242
160499,FFT1DOnce,874,x_c,9.094947017729282e-13,-3.54629496125891e-12,1.99e-13,Masked,13,10031
413871,FFT1DOnce,873,x_r,-138.42433780199008,1.0,4.325760556312105,SDC,61,25866
374885,FFT1DOnce,869,x_r,-1.862645149230957e-09,5.108809109595547e-10,2.842e-13,Masked,21,23430
219462,FFT1DOnce,875,x2,1.4901161193847656e-08,8.330934522399286e-09,3.126e-13,Masked,25,13716
278209,FFT1DOnce,875,x2,-9.094947017729282e-13,7.723143237566212e-15,0.0,Masked,5,17388
442863,FFT1DOnce,877,x1,-19.30098531285646,1.0,8.53e-14,Masked,61,27678
192602,FFT1DOnce,876,x2,-0.0009765625,-0.0006847635778513426,5.68e-14,Masked,41,12037
421398,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,25,26337
333366,FFT1DOnce,878,x1,5.960464477539063e-08,-7.898171856480603e-09,3.411e-13,Masked,25,20835
248102,FFT1DOnce,877,x1,5.960464477539063e-08,-1.068128374892249e-08,5.969e-13,Masked,25,15506
60546,FFT1DOnce,875,x2,5.684341886080802e-14,1.305301272422565e-13,8.53e-14,Masked,9,3784
338786,TwiddleOneCol,711,tx_r,4.547473508864641e-13,1.2313782524808532e-13,8.53e-14,Masked,9,21174
234530,FFT1DOnce,869,x_r,-1.1368683772161603e-13,-1.7126160719789773e-13,1.137e-13,Masked,9,14658
401669,FFT1DOnce,875,x2,2.9802322387695312e-08,-8.165582190204005e-10,1.421e-13,Masked,21,25104
356085,FFT1DOnce,870,x_c,-1.862645149230957e-09,6.444081419373906e-10,0.0,Masked,21,22255
148092,FFT1DOnce,878,x1,1.0,-0.1710146033241104,1.137e-13,Masked,49,9255
251438,Transpose,803,dest,1.5735583944634404e+20,1.8446744073709552e+19,31.94696235180453,SDC,57,15714
456335,FFT1DOnce,875,x2,18.301592413001377,-1.0,8.53e-14,Masked,61,28520
326096,FFT1DOnce,868,omega_c,4.440892098500626e-16,4.440892098530586e-16,8.53e-14,Masked,1,20381
274900,FFT1DOnce,872,tau_c,4.656612873077393e-10,5.586403728983114e-11,8.53e-14,Masked,17,17181
486192,FFT1DOnce,874,x_c,1.1368683772161603e-13,7.130577756425472e-16,8.53e-14,Masked,1,30387
216503,FFT1DOnce,870,x_c,9.5367431640625e-07,-1.6593028637820488e-07,5.4e-13,Masked,29,13531
310271,FFT1DOnce,874,x_c,-7.976971168045537,1.0,2.558e-13,Masked,61,19391
327518,FFT1DOnce,872,tau_c,0.6474442060129075,-1.0,3.411e-13,Masked,57,20469
261523,CopyColumn,820,dest,1.1370071550942384e-13,-2.767635075124134e-12,8.53e-14,Masked,13,16345
457699,FFT1DOnce,877,x1,-2.3283064365386963e-10,1.9007658290726732e-12,1.7337e-12,Masked,13,28606
205669,FFT1DOnce,877,x1,4.656612873077393e-10,-4.86972186693176e-10,2.84e-14,Masked,21,12854
143556,Transpose,803,dest,-1.455185971721562e-11,3.230364838129042e-11,1.137e-13,Masked,17,8972
24944,FFT1DOnce,870,x_c,4.440892098500626e-16,6.490161548165696e-16,5.68e-14,Masked,1,1559
509060,FFT1DOnce,875,x2,-1.862645149230957e-09,4.519084975138399e-11,7.1907e-12,Masked,17,31816
120689,TwiddleOneCol,715,tx,3.497202527569243e-15,-9.96244586569086e-15,5.68e-14,Masked,5,7543
104871,TwiddleOneCol,709,tomega_r,-1.1920928955078125e-07,-1.9376562901364959e-07,2.84e-14,Masked,29,6554
448986,FFT1DOnce,868,omega_c,-0.00048828125,0.0004882812500032941,5.68e-14,Masked,41,28061
52314,FFT1DOnce,876,x2,-0.000244140625,-0.0008426383769963907,5.68e-14,Masked,41,3269
525013,Transpose,804,dest,4.656612873077393e-10,8.498388388771762e-10,4.657466e-10,Masked,21,32813
103105,FFT1DOnce,871,tau_r,-7.105427357601002e-15,-1.0774524834097986e-14,8.53e-14,Masked,5,6444
533183,CopyColumn,820,dest,4.744224113425773e+307,inf,4.744224113425773e+307,SDC,61,33323
198376,FFT1DOnce,877,x1,7.62939453125e-06,3.5247172914936017e-06,1.421e-13,Masked,33,12398
210929,Reverse,833,x,3.608224830031759e-15,1.0637605725951894e-14,8.53e-14,Masked,5,13183
460725,Scale,726,x,-4.656612873077393e-10,6.078817951518061e-10,4.65576e-10,Masked,21,28795
284477,FFT1DOnce,870,x_c,152.52060947723737,15.000000000000002,5.684e-13,Masked,53,17779
280769,FFT1DOnce,867,omega_r,7.105427357601002e-15,-7.690838674067225e-15,1.137e-13,Masked,5,17548
351927,FFT1DOnce,874,x_c,9.5367431640625e-07,1.57418128271075e-07,1.705e-13,Masked,29,21995
181346,FFT1DOnce,869,x_r,2.2737367544323206e-13,1.4563496652543027e-13,5.68e-14,Masked,9,11334
511628,FFT1DOnce,871,tau_r,4.0,-0.16776544027725807,1.137e-13,Masked,49,31976
213811,FFT1DOnce,870,x_c,7.275957614183426e-12,2.6253974104734768e-12,5.68e-14,Masked,13,13363
216585,FFT1DOnce,875,x2,-0.0001220703125,4.671669392015535e-05,2.558e-13,Masked,37,13536
360766,FFT1DOnce,874,x_c,1.9250122421153192e+20,1.8446744073709552e+19,379.5882907816639,SDC,57,22547
323219,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,13,20201
259983,CopyColumn,819,dest,5.993557524922915,-1.0,1.421e-13,Masked,61,16248
9668,FFT1DOnce,875,x2,-1.8189963424397604e-12,-3.8056374003422585e-11,5.68e-14,Masked,17,604
58942,FFT1DOnce,870,x_c,-1.7031627874039543,1.0,1.7031627874038975,SDC,57,3683
439881,Reverse,832,x,0.00048828125,3.52482820615771e-05,1.421e-13,Masked,37,27492
